Variable,Response,Baby HUG,C-Data,MSH,SCDIC,Walk-PHaSST
HU use group,Missing ,60 ,339 ,70 ,24 ,1 
HU use group,Current ,119 ,787 ,157 ,"1,163 ",249 
HU use group,Past ,20 ,163 ,113 ,601 ,95 
HU use group,Total ,206 ,"3,615 ",357 ,"2,437 ",673 
