Variable,Response,Baby HUG,C-Data,MSH,SCDIC,Walk-PHaSST
Sex,Missing ,2 ,2 ,13 ,0 ,1 
Sex,Female ,114 ,"1,761 ",179 ,"1,386 ",357 
Sex,Male ,90 ,"1,852 ",165 ,"1,051 ",315 
Sex,Total ,206 ,"3,615 ",357 ,"2,437 ",673 
